특성별(1),특성별(2),2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
특성별(1),특성별(2),전체,건물부착 광고물,교통시설 이용 광고물,교통수단 이용 광고물,공공시설물 이용 광고물,지면 설치 광고물,공공장소 광고물,여가시설 광고물,쇼핑시설 광고물,유동 광고물,실사 출력,전체,건물부착 광고물,교통시설 이용 광고물,교통수단 이용 광고물,공공시설물 이용 광고물,지면 설치 광고물,공공장소 광고물,여가시설 광고물,쇼핑시설 광고물,유동 광고물,실사 출력,전체,건물부착 광고물,교통시설 이용 광고물,교통수단 이용 광고물,공공시설물 이용 광고물,지면 설치 광고물,공공장소 광고물,여가시설 광고물,쇼핑시설 광고물,유동 광고물,실사 출력,전체,건물부착 광고물,교통시설 이용 광고물,교통수단 이용 광고물,공공시설물 이용 광고물,지면 설치 광고물,공공장소 광고물,여가시설 광고물,쇼핑시설 광고물,유동 광고물,실사 출력,전체,건물부착 광고물,교통시설 이용 광고물,교통수단 이용 광고물,공공시설물 이용 광고물,지면 설치 광고물,공공장소 광고물,여가시설 광고물,쇼핑시설 광고물,유동 광고물,실사 출력,전체,건물부착 광고물,교통시설 이용 광고물,교통수단 이용 광고물,공공시설물 이용 광고물,지면 설치 광고물,공공장소 광고물,여가시설 광고물,쇼핑시설 광고물,유동 광고물,실사 출력,전체,건물부착 광고물,교통시설 이용 광고물,교통수단 이용 광고물,공공시설물 이용 광고물,지면 설치 광고물,공공장소 광고물,여가시설 광고물,쇼핑시설 광고물,유동 광고물,실사 출력
전체,소계,"3,211,727","1,244,852","336,001","273,564","114,928","148,543","80,101","420,005","103,109","174,775","315,848","3,402,562","1,266,664","365,025","282,629","121,916","157,066","112,611","464,007","117,315","207,020","308,309","3,447,417","1,268,877","398,639","342,133","135,157","150,634","104,614","404,075","85,470","244,390","313,428","3,514,241","1,357,939","411,635","344,882","135,736","160,837","106,444","407,930","91,887","222,368","274,583","3,076,530","1,240,163","326,839","258,856","149,856","152,089","172,401","148,066","84,935","249,760","293,565","3,566,595","1,427,601","357,432","331,726","192,150","142,066","190,735","217,840","120,800","262,651","323,594","4,022,623","1,591,207","421,966","404,282","214,421","131,099","245,614","289,788","133,876","264,760","325,610"
주력사업별,매체사,"969,254","104,102","195,469","213,673","42,764","40,966","1,402","334,022","24,647","4,296","7,912","975,901","105,929","221,880","210,382","54,448","40,647","5,086","301,475","30,773","5,281",-,"1,043,312","89,635","239,418","259,545","69,608","45,534","7,489","281,609","39,635","10,100",738,"1,068,005","93,124","248,910","260,568","69,513","49,958","7,939","282,459","46,211","8,677",646,"812,081","79,364","183,401","193,310","98,724","44,384","67,881","92,570","43,211","8,934",302,"932,724","115,378","201,360","236,749","91,896","53,037","71,081","95,960","56,125","10,608",530,"1,385,431","236,221","273,996","314,806","118,438","37,861","117,603","195,372","77,173","13,181",780
,제작/설치,"2,115,281","1,128,580","107,280","49,069","66,074","103,078","77,090","67,700","49,661","165,320","301,428","2,318,951","1,125,782","143,145","68,783","59,666","109,845","95,892","136,754","86,097","192,278","300,708","2,378,443","1,172,470","158,809","82,585","64,090","100,094","96,699","120,352","45,737","229,647","307,959","2,420,546","1,257,423","162,290","84,309","64,720","105,703","98,126","123,286","45,578","209,338","269,773","2,227,128","1,154,244","142,798","65,546","47,968","102,624","99,141","55,496","37,958","234,702","286,651","2,615,529","1,302,764","155,996","94,977","98,665","87,930","118,235","121,569","62,272","251,458","321,663","2,615,772","1,348,695","147,970","89,476","92,050","92,515","125,420","90,005","56,275","250,446","322,920"
,기타,"127,192","12,169","33,252","10,822","6,090","4,500","1,609","18,283","28,801","5,159","6,508","107,710","34,953",-,"3,464","7,802","6,574","11,633","25,778",445,"9,461","7,601","25,662","6,772",412,3,"1,459","5,006",426,"2,114",98,"4,643","4,731","25,690","7,392",435,5,"1,503","5,176",379,"2,185",98,"4,353","4,164","37,321","6,555",640,-,"3,164","5,081","5,379",-,"3,766","6,124","6,612","18,342","9,459",76,0,"1,589","1,099","1,419",311,"2,403",585,"1,401","21,420","6,291",0,0,"3,933",723,"2,591","4,411",428,"1,133","1,910"
매출규모별,10억원 미만,"1,236,965","593,098","141,049","36,344","66,717","54,718","24,343","65,709","52,080","81,956","120,951","1,485,415","652,378","74,372","35,985","60,749","73,681","62,260","91,576","31,319","135,414","267,680","2,056,418","1,047,455","99,279","85,586","99,975","98,542","97,916","43,463","34,263","217,049","232,889","2,064,973","1,198,952","60,459","78,432","65,147","39,439","84,818","29,690","34,674","214,866","258,496","1,908,595","1,068,853","49,487","43,725","42,472","57,134","90,943","37,464","41,589","235,174","241,754","1,779,531","915,560","42,888","53,425","67,888","63,404","94,454","44,919","53,213","143,816","299,964","2,049,279","967,739","112,405","71,007","91,752","57,892","114,504","68,398","55,701","211,848","298,033"
,10억원 이상 ~ 50억원 미만,"1,093,426","473,064","120,463","93,272","36,970","77,545","41,273","51,888","35,943","63,777","99,230","999,173","460,678","91,483","109,858","15,827","65,092","35,835","69,435","40,010","70,494","40,461","607,282","188,806","117,095","68,983","11,612","9,418","6,698","82,884","13,907","27,341","80,539","625,145","136,100","142,115","73,239","7,170","79,490","19,623","101,294","42,565","7,502","16,047","543,121","135,848","152,538","61,299","18,419","70,555","8,071","24,107","7,620","12,854","51,810","844,138","326,705","119,585","64,543","31,272","49,154","32,585","61,936","40,588","96,628","21,142","631,150","287,903","88,373","47,076","15,771","32,615","22,368","38,725","31,691","39,051","27,577"
,50억원 이상,"881,337","178,689","74,489","143,948","11,242","16,280","14,486","302,408","15,086","29,042","95,666","917,974","153,608","199,170","136,786","45,340","18,293","14,516","302,996","45,986","1,112",168,"783,717","32,616","182,265","187,564","23,570","42,674",-,"277,728","37,300",-,-,"824,123","22,887","209,061","193,211","63,419","41,908","2,003","276,946","14,648",-,40,"624,814","35,462","124,814","153,832","88,965","24,400","73,387","86,495","35,726","1,732",1,"942,926","185,336","194,959","213,758","92,990","29,508","63,696","110,985","26,999","22,207","2,488","1,342,194","335,565","221,188","286,199","106,898","40,592","108,742","182,665","46,484","13,861",0
권역별,서울,"821,215","269,295","176,200","91,882","12,764","24,770","26,671","112,885","53,265","20,307","33,176","910,023","266,200","201,162","82,749","57,279","48,351","35,487","92,493","44,958","19,882","61,463","1,427,794","261,028","237,183","250,162","41,605","61,948","28,679","345,164","54,625","49,502","97,900","1,296,612","299,667","255,693","217,946","70,216","69,214","11,170","286,391","62,641","9,023","14,651","918,250","202,088","165,263","172,202","90,065","14,810","28,035","116,278","49,414","22,128","57,967","1,178,728","294,368","208,052","203,738","91,886","56,545","85,795","107,220","59,430","22,361","49,333","1,880,251","562,653","290,459","303,039","119,316","61,163","140,406","207,561","83,833","48,860","62,961"
,6대 광역시,"981,538","348,782","90,479","111,139","30,118","18,541","7,087","232,287","13,498","36,218","93,387","738,618","306,118","76,770","54,474","24,401","21,672","19,642","69,398","31,439","58,263","76,441","705,526","382,189","45,563","27,940","45,215","21,447","31,376","45,673","19,567","52,142","34,411","615,897","334,995","35,007","56,055","13,013","22,608","16,012","9,086","5,470","53,280","70,371","558,413","291,956","25,510","43,405","4,485","36,667","10,583","7,034","1,919","59,123","77,731","757,121","307,752","80,971","78,419","31,870","29,382","21,844","38,141","18,876","74,518","75,348","645,150","282,959","55,665","60,693","21,962","25,102","26,339","26,903","16,807","65,293","63,427"
,도지역,"1,408,974","626,775","69,322","70,543","72,047","105,232","46,343","74,832","36,346","118,250","189,284","1,753,921","694,346","87,093","145,406","40,236","87,043","57,482","302,116","40,918","128,875","170,405","1,314,097","625,660","115,893","64,031","48,337","67,239","44,559","13,238","11,278","142,746","181,117","1,601,732","723,277","120,935","70,881","52,507","69,015","79,262","112,453","23,776","160,065","189,561","1,599,867","746,119","136,066","43,249","55,306","100,612","133,783","24,754","33,602","168,509","157,867","1,630,746","825,481","68,409","49,569","68,394","56,139","83,096","72,479","42,494","165,772","198,913","1,497,222","745,595","75,842","40,550","73,143","44,834","78,869","55,324","33,236","150,607","199,222"
