지역,2016년,2017년,2018년,2019년,2020년,2021년,2022년
서울특별시,"129,244","93,918","73,745","97,204","56,642","30,233","30,216"
부산광역시,"109,429","70,791","70,159","69,187","65,505","66,225","65,032"
대구광역시,"30,953","28,332","30,985","30,446","23,524","19,414","19,098"
인천광역시,"48,616","40,599","42,638","48,494","32,651","21,787","19,596"
광주광역시,"51,372","21,546","22,235","20,968","15,800","11,749","10,802"
대전광역시,"15,343","15,085","14,713","14,034","11,740","12,205","11,370"
울산광역시,"23,333","23,460","30,380","27,853","17,416","11,739","10,175"
세종특별자치시,"6,687","1,053","1,522","3,610","3,742","3,696","3,512"
경기도,"196,509","112,506","108,236","113,083","99,391","98,863","100,296"
강원도,"36,725","24,993","28,886","28,846","27,733","21,378","20,846"
충청북도,"53,666","17,811","11,735","14,146","13,216","12,489","12,209"
충청남도,"53,798","21,646","24,878","17,593","12,721","12,420","12,009"
전라북도,"38,485","22,236","25,714","30,694","19,280","13,309","14,495"
전라남도,"40,014","23,092","21,195","44,245","14,831","13,275","12,856"
경상북도,"108,389","21,412","19,787","34,651","19,905","15,995","15,803"
경상남도,"126,352","37,535","37,965","42,387","30,839","29,819","30,171"
제주특별자치도,"76,141","33,751","33,582","41,650","32,213","30,142","30,184"
