지역,년도,옥외광고물_개수,,,,,,,,,,,,,,,,,,,
서울,2016,"129,244",,,,,,,,,,,,,,,,,,,
서울,2017,"93,918",,,,,,,,,,,,,,,,,,,
서울,2018,"73,745",,,,,,,,,,,,,,,,,,,
서울,2019,"97,204",,,,,,,,,,,,,,,,,,,
서울,2020,"56,642",,,,,,,,,,,,,,,,,,,
서울,2021,"30,233",,,,,,,,,,,,,,,,,,,
서울,2022,"30,216",,,,,,,,,,,,,,,,,,,
부산,2016,"109,429",,,,,,,,,,,,,,,,,,,
부산,2017,"70,791",,,,,,,,,,,,,,,,,,,
부산,2018,"70,159",,,,,,,,,,,,,,,,,,,
부산,2019,"69,187",,,,,,,,,,,,,,,,,,,
부산,2020,"65,505",,,,,,,,,,,,,,,,,,,
부산,2021,"66,225",,,,,,,,,,,,,,,,,,,
부산,2022,"65,032",,,,,,,,,,,,,,,,,,,
대구,2016,"30,953",,,,,,,,,,,,,,,,,,,
대구,2017,"28,332",,,,,,,,,,,,,,,,,,,
대구,2018,"30,985",,,,,,,,,,,,,,,,,,,
대구,2019,"30,446",,,,,,,,,,,,,,,,,,,
대구,2020,"23,524",,,,,,,,,,,,,,,,,,,
대구,2021,"19,414",,,,,,,,,,,,,,,,,,,
대구,2022,"19,098",,,,,,,,,,,,,,,,,,,
인천,2016,"48,616",,,,,,,,,,,,,,,,,,,
인천,2017,"40,599",,,,,,,,,,,,,,,,,,,
인천,2018,"42,638",,,,,,,,,,,,,,,,,,,
인천,2019,"48,494",,,,,,,,,,,,,,,,,,,
인천,2020,"32,651",,,,,,,,,,,,,,,,,,,
인천,2021,"21,787",,,,,,,,,,,,,,,,,,,
인천,2022,"19,596",,,,,,,,,,,,,,,,,,,
광주,2016,"51,372",,,,,,,,,,,,,,,,,,,
광주,2017,"21,546",,,,,,,,,,,,,,,,,,,
광주,2018,"22,235",,,,,,,,,,,,,,,,,,,
광주,2019,"20,968",,,,,,,,,,,,,,,,,,,
광주,2020,"15,800",,,,,,,,,,,,,,,,,,,
광주,2021,"11,749",,,,,,,,,,,,,,,,,,,
광주,2022,"10,802",,,,,,,,,,,,,,,,,,,
대전,2016,"15,343",,,,,,,,,,,,,,,,,,,
대전,2017,"15,085",,,,,,,,,,,,,,,,,,,
대전,2018,"14,713",,,,,,,,,,,,,,,,,,,
대전,2019,"14,034",,,,,,,,,,,,,,,,,,,
대전,2020,"11,740",,,,,,,,,,,,,,,,,,,
대전,2021,"12,205",,,,,,,,,,,,,,,,,,,
대전,2022,"11,370",,,,,,,,,,,,,,,,,,,
